on	man
frivole	frivol, leichtfertig; eitel, hinfällig
l'ordre du jour (m)	Tagesbefehl, Tagesordnung
le tendon d'Achille	Achillessehne
couver	brüten
échauder	brühen
silencieux	verschwiegen
la bombe à incendie	Brandbombe
chardon bleu	Alpen-Mannstreu
aïe, hélas	weh, wehe
asphodèle	Affodill
l'Aix-la-Chapelle (f)	Aachen
pomper	pumpen
canadien	kanadisch
l'Assyrie (f)	Assyrien
le bijoutier	Juwelier
le vice	Verderbnis; Laster; Fehlen, Fehler, Manko
banal	abgedroschen, banal, fade
le sorcier	Zauberer
herser	eggen
malaisien	malaysisch
lâche	gemein, infam; verzagt
le nègre, le Noir	Neger, Schwarzer
rusé, artificieux, astucieux	arglistig, listig, schlau, gewitzt
le groseillier	Johannisbeerstrauch
s'agglutiner	sich heften an
la rente, le revenu	Einkommen, Rente
l'abêtissement (m)	Betäubung, Abstumpfung, Verdummung
le discours politique	Diskurs
voter, élire	abstimmen, wählen
l'Argentin (m)	Argentinier
exécuter	exekutieren, hinrichten, vollstrecken
tôt, de bonne heure	früh, zeitig
le secours	Erste Hilfe, Unfallhilfe
le Soudan	der Sudan, Sudan
la langue portugaise, le portugais	Portugiesisch, portugiesische Sprache
pavot des Alpes	Alpen-Mohn
le rhumatisme	Rheumatismus
défiler	vorbeimarschieren, defilieren
la pantoufle	Pantoffel
artériosclérose	Arterienverkalkung
envahir	einfallen
vertébral	Wirbel-
la pédale	Pedal
l'espalier (m)	Spalier
varier	variieren
l'insigne (m)	Insignien, Wappen
aldéhyde	Aldehyd
gentil	freundlich; süß; allerliebst, anmutig, hold, lieblich, reizend
l'erreur (f)	Fehler, Irrtum, Versehen
le baume	Balsam
aimanter	magnetisieren
bantou	Bantu-
le lycée	Lyceum
l'album (m)	Album
le bouc	Ziegenbock
le scorpion	Skorpion
héroïsme (m)	Heroismus
le mastodonte	Mastodon
la proposition	Darbietung, Darstellung, Vorstellung; Aufführung, Vorlegung, Präsentation; Antrag, Gebot
le Barbe-Bleue	Blaubart
rougir	erröten, rot werden
scier	sägen
planer	schweben
aiguiller, commuter	umschalten, umschnallen
corse	korsisch
syrien	syrisch
cubain	kubanisch
l'addition (f)	Addition; Anhang, Beilage, Supplement, Zugabe, Zusatz, Zuschlag, Zuschuss; Beisetzung; Kalkül
le delta	Delta
précisément	genau, exakt; bündig
le Tigre	Tigris
lutter	ringen
rappeler	herausfordern, hervorrufen; widerrufen
la lame	Klinge; dünne Platte, dünne Schicht; Rasiermesser
l'apesanteur (f)	Gewichtslosigkeit, Leichtigkeit
faire banqueroute	in Konkurs gehen, Schiffbruch erleiden, eine Pleite erleben, Misserfolg haben, Bankrott machen, Konkurs machen, einbrechen, versagen, Pleite gehen, bankrottieren
l'inspecteur (m)	Aufsichtsbeamter, Inspektor
l'idiot (m)	Blödsinniger, Idiot, Stumpfsinniger
astrakan	Astrachan
artésien	artesisch
tabouret à feuilles rondes	Rundblättriges Hellerkraut
la psychose	Psychose
le brome	Brom
la fusion	Fusion
Le Caire	Kairo
l'embryon (m)	Embryo
le guichet	Schalter, Schiebefenster
la lime	Feile
Haïti (f)	Haiti
le trapèze	Trapez
ukrainien	ukrainisch
la Normandie	Normandie, die Normandie
hermine (f)	Hermelin
jeûner	fasten
la structure	Bildung, Struktur
péniche, chaland, barge	Fähre, Lastkahn
absoudre	absolvieren, entbinden, freisprechen, lossprechen
abêtir	betäuben, abstumpfen, verdummen
glousser	glucken
l'augure (m)	Wahrsagung
l'océan (m)	Ozean, Weltmeer
le poil d'animal, le pelage	Balg, Fell, Tierhaut, Pelz
hausse (f)	Steigerung
le filleul	Patenkind
l'initiative (f)	Initiative; Veranlassung
le Polonais	Pole
le comité	Ausschuss, Komitee
suspendre	abdanken, entlassen, verabschieden; anhängen, aufhängen, erhängen, henken; aufschieben, fristen, stunden, vertagen, verzögern
la Barbade	Barbados
muet	sprachlos, stumm
la Tanzanie	Tansania
l'amulette (f)	Amulett
le voyage	Reise, Tour
la cigogne	Storch
l'Asiatique (m), l'Asiate (m)	Asiat
troubler	agitieren; in Unordnung bringen, in Verwirrung bringen, verwirren; trüben
l'écho (m)	Echo, Widerhall
le figuier	Feigenbaum
l'avalanche (f)	Lawine
le pôle	Pol
l'empreinte (f), la trace	Spur (einer Matrix)
la femme	Frau, Gemahlin
le lierre	Efeu
la menstruation	Menstruation
l'alliage (m)	Legierung
Bitche	Bitsch
la marée haute	Flut, Zufluss
la bronche	Luftröhrenast, Bronchie
l'adjoint au maire (m)	Helfer des Bürgermeisters, Schöffe
jamaïcain	jamaikanisch
la pourpre	Purpur
rapiécer	ausbessern, flicken
apocalyptique	apokalyptisch, mysteriös, dunkel, wirr
la vrille	Bohrer
toujours, en tous temps	allemal, allzeit, fortwährend, immer, jederzeit, stets
la joue	Backe, Wange
le Bochiman	Buschmann
anesthésie	Anästhesie, Narkose
mugir	brausen, sausen, zischen
le boulier	Abakus, Kugelmaschine, Rechenmaschine
vendre d'occasion	wuchern
trivial	trivial
coupler	kuppeln, koppeln
le Zeus	Zeus
la glycérine	Ölsüß, Glyzerin
longer	entlangschreiten, entlanggehen
accolade	Akkolade, geschweifte Klammer
l'Aristote (m)	Aristoteles
l'étincelle (f)	Funke
immaculé	unbescholten
tinter	hallen, klingen, läuten, schallen, tönen; klimpern, klirren
le gibier	Wildbret
embrayer	kuppeln, einkuppeln, verkuppeln, koppeln
l'algèbre (f)	Algebra
gentiane de Clusius, gentiane de Koch, gentiane à tige courte	Stengelloser Enzian
interpréter	auslegen, deuten, dolmetschen
la rime	Reim
les aïeux	Ureltern
Corse	Korsika
repasser	bügeln, plätten
la cascade	Wasserfall
le xénon	Xenon
l'acarien (m)	Milbe
les Mariannes	Marianen
trèfle brun	Braun-Klee
le faisan	Fasan
sorter	ausgehen, ausrücken
l'appui (m)	Stütze
la phalange	Phalanx, Zehenglied, Schlachtordnung, Fingerglied
piller	rauben, berauben, plündern
hipothétique	hypothetisch
constater	als Tatsache feststellen, konstatieren
gaspiller, prodiguer	vergeuden, verschwenden
homard (m)	Hummer
l'illettré (m)	Analphabet
rembourrer	polstern
l'obscurité (f)	Dunkelheit
grogner	nörgeln; grunzen
apprendre par l'expérience	erleben
vératre blanc	Weißer Germer
le parterre	Parterre
Rwanda	Ruanda
la tribune	Tribüne
le Nil	Nil
la torche	Fackel
la betterave	Bete, Mangold, Runkelrübe
ghanéen	ghanaisch
nigritelle noirâtre	Schwarzes Kohlröschen
barillet, baril	Fass
le mélèze	Lärche
la Birmanie	Birma
passif	passiv
triangulaire	Dreiecks-(matrix)
le géranium	Storchschnabel
azalée des Alpes	Niederliegendes Felsenröschen
l'Augias (m)	Augias
le Lituanien	Litauer
l'anus (m)	After, Hintern
barricader	verbarrikadieren, verrammeln
délirer	irre reden
l'Atlas (m)	Atlas
distribuer	austeilen, verteilen, zuteilen; zerlegen; verallgemeinern
tordre	drehen, ringen, winden
l'aurochs (m)	Ur, Auerochse
haut (m), le faîte	First, Gipfel, Wipfel
le reçu	Empfangsschein, Quittung
aryen	arisch
le gouffre	Abgrund, Tiefe; Rachen, Schlund; Spalte, Schlucht
flatter, aduler, amadouer	schmeicheln
le frein	Bremse; Sperre
l'épouse (f)	Frau, Gemahlin
le ravisseur	Freibeuter, Wegelagerer
enregistrer	registrieren
amender	düngen, mästen, fetten; bessern, ausbessern, verbessern, veredeln
russe	russisch; Russisch, russische Sprache
étouffer, suffoquer	erdrosseln, ersticken, erwürgen
le Louvain	Löwen
la sardine	Sardine
faire tomber	fällen
l'adjudication (f)	Lieferungsausschreibung, Verdingung
utopie	Utopie
le sodium	Natrium
le boulevard	Boulevard
arctique	arktisch, nordpolar
striduler	zirpen
le velours	Samt
l'instruction (f)	Erziehung, Zucht, Züchtung; Unterricht; Belehrung, Weisung, Instruktion
le ressort	Feder, Triebfeder
hémorragie (f)	Gewebeblutung, Hämorrhagie
le ver	Wurm
signer	subskribieren
Erstein	Erstein
la grêle	Hagel
agate	Achat
Moinet	Welschenbocholz
birman	birmanisch
l'étendard (m)	Banner, Fahne, Standarte
la reprise	Wiederholung
réserver pour	ausersehen für, bestimmen für
amorphe	amorph; ungestalt
fil de fer barbelé, barbelé	Stacheldraht
le béryllium	Beryllium
l'alouette (f)	Lerche
la vanité, la futilité	Vergeblichkeit; Eitelkeit
le phénix	Phönix
le panneau	Paneel, Täfelung; Brett, Tafel
l'inertie (f)	Untätigkeit; Trägheit
l'anachronisme (m)	Anachronismus
le râteau	Harke
ballerine	Balletttänzerin
le paradis	Paradies
le Petit Poucet	Däumling
Luxembourg	Luxemburg
opérer	agieren, handeln, verfahren, vorgehen, wirken; einwirken, erwirken; anfertigen, herstellen, leiten, machen, tun, zurücklegen; operieren
baptiser	taufen
la splendeur	Wunder; Gepränge, Pomp
l'échoppe (f), le stand, le kiosque	Baracke, Bude, Hütte, Scheune
le courrier	Eilbote, Kurier; Post
cirse épineux	Alpen-Kratzdistel
stupéfier, consterner	bestürzt machen, in Bestürzung versetzen, konsternieren
le studio	Atelier, Studio; Studium
le Pluton	Pluto
Hachy	Herzig
grouiller, fourmiller	schwärmen, wimmeln
Arlon	Arel
illuminer	illuminieren
opposé	widerwärtig; verkehrt
la Mésopotamie	Mesopotamien
autopsie	Autopsie, Obduktion
sabot de Vénus	Frauenschuh
sous-marin	unterseeisch
la barque	Barke, Nachen
le fruit à coque	Nuss
chypriote	zyprisch
la bulle, la vésicule, la vessie	Blase
l'écluse (f)	Schleuse
intriguer	Ränke anzetteln, intrigieren
l'émotion (f)	Empfindung; Bewegung, Rührung
alène	Ahle, Pfrieme
appuyer en écrasant	beklemmen, drücken, bedrücken, pressen, zwängen
l'Argus (m)	Argus
s'apercevoir	gewahr werden, inne werden
l'appartement (m)	Appartement, Etagenwohnung, Gemach
Alzingen	Alzingen
le cuivre	Kupfer
cracher	speien, spucken; ausspeien, auswerfen
le dompteur	Bändiger, Dompteur
ADN	DNS
l'asile (m)	Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt
le liseron	Winde
la Frise	Friesland
l'airain (m)	Bronze, Erz
l'instinct (m)	Instinkt, Naturtrieb, Trieb
la pelle	Schaufel, Schippe
la paume	Handfläche
la réfutation	Widerlegung
maitriser	bewältigen, überflügeln, übersteigen, überragen, übertreffen
l'asthme (m)	Asthma
le gredin, le canaille	Bandit, Schuft, Schurke
barbeau, le bleuet	Kornblume
l'asphalte (m)	Asphalt, Erdpech
le succédané, l'ersatz (m)	Surrogat
l'emphase (f)	Begeisterung, Schwung
ne-m'oubliez-pas, le myosotis	Vergissmeinnicht
l'acanthe (f)	Akanthus, Bärenklau
la coque	Borke, Hülse, Rinde, Schale
babylonien	babylonisch
flairer	riechen, wittern
la forêt vierge	Urwald
maudire	verfluchen, verwünschen
la trajectoire	Flugbahn
intermédiaire	mittlerer, mittlere, mittleres; Mittel-
débiter, partager	dividieren, teilen, einteilen, gliedern, verteilen, zerlegen
gâcher	pfuschen
perfide	arg, arglistig, boshaft, hämisch, tückisch, heimtückisch
la secte	Sekte
les archives	Archivgebäude, Urkundensammlung, Urkundenstelle, Dokumentensammlung, Dokumentationsstelle, Archiv
le pois	Erbse
le pygmée	Pygmäe, Zwerg
l'auréole (f)	Heiligenschein
sale	unlauter
l'orge (m)	Gerste
la Prague	Prag
le baryton	Bariton
improviser	improvisieren
la Castille	Kastillien
horloger (m)	Uhrmacher
l'ablatif (m)	Ablativ
déborder	überlaufen
alose	Alse, Maifisch
la fédération	Bundesgenossenschaft, Föderation
le développement	Vermehrung, Wuchs, Zunahme, Zuwachs
la dynamo	Dynamo
le Brabançon	Brabanter
la Wallonie	Wallonien
le canapé	Kanapee
ennuyeux	überdrüssig, verdrießlich
le gazouillement	Gepiepe, Gezwitscher
sursauter	aufschrecken; aufstehen, sich stellen
incliner	neigen zu; neigen, hinneigen
faire du bruit	brausen, Geräusch machen, lärmen
le sureau	Holunder
le disciple	Anhänger, Jünger
le Mexico	Mexiko-Stadt
le Bacchus	Bacchus
la myrtille	Blaubeere, Heidelbeere
dresser	abrichten, bändigen, dressieren
le Guatemala	Guatemala
la Madone, la Sainte-Vierge	Madonna
prier	bitten, ersuchen; beten
s'ériger en	posieren
astrance grande	Große Sterndolde
l'arrestation (f)	Arrest, Haft
le Groenland, le Groënland	Grönland
la ruine	Ruine, Trümmer
Saverne	Zabern
l'autel (m)	Altar
l'accommodement (m), le pacte	Einverständnis, Übereinkunft
le rond	Bezirk, Kreis, Runde
l'inférieur (m), le subordonné	Untergebene
vomir	speien, ausspeien, auswerfen, spucken; sich erbrechen, sich übergeben
allitération	Alliteration
alpinisme	Bergsport, Bergsteigen
le zig-zag	Zickzack
la sanction	Sanktion
le cidre	Apfelwein, Obstwein, Zider
le micromètre	Mikrometer
l'Islande (f)	Island
le laboratoire	Laboratorium
chicaner	schikanieren, wegen Kleinigkeiten tadeln
la badine, la baguette	Gerte, Rute
la charnière	Gelenkband, Scharnier
la chimère	Chimäre
l'interface (f)	Schnittstelle
basilic	Basilisk
la bassine, la cuve	Bottich, Wanne
sain	gesund, heil
la Gueldre	Geldern
Carinthie	Kärnten
l'application (f)	Fleiß
la masse	Haufen, Menge, Stapel; Masse
en imposer à	Achtung einflößen, Eindruck machen auf, imponieren
kenyan	kenianisch
le Malawi	Malawi
l'Amsterdam (m)	Amsterdam
renvoyer	abdanken, entlassen, verabschieden; austreiben, ausweisen, fortjagen, vertreiben, wegjagen; aufschieben, fristen, stunden, vertagen, verzögern; reflektieren, rückstrahlen; zurücksenden; übersenden
le chirurgien	Chirurg; Wundarzt
hausser	erhöhen
baroque	barock; Barock
le fil	Draht; Faden, Garn, Senkel, Zwirn
sèchement, brusquement, abruptement	abrupt
l'architecture (f)	Architektur; Baukunst
Homère (m)	Homer
l'usine de tissage (f), tissage	Weberei
Beho	Bocholz
le frein de secours, le frein de sûreté	Notbremse
serbe	serbisch
la Cassandre	Kassandra
le radeau	Floß
le Frison	Friese, Friesländer
anachorète	Anachoret
apostolique	apostolisch
le mythe	Mythus
la coccinelle	Marienkäfer
l'amphithéâtre (m)	Amphitheater
supplémentaire	zusätzlich; Supplement-(-winkel)
l'océan Glacial du Nord (m)	Arktischer Ozean
le franc-maçon	Freimaurer
la largeur	Breite; Ausdehnung, Geräumigkeit, Weite
déchirer	reißen, einreißen, zerreißen, zerren, zupfen
l'abécédaire (m)	Fibel
compenser	ausgleichen, entschädigen, ersetzen, vergüten
la jupe	Rock, Frauenrock
l'anchois (m)	Anchovis
martagon	Türkenbund-Lilie
l'aquarium (m)	Aquarium
l'étalon (m), le cheval entier	Hengst
sublime	erhaben, sublim, majestätisch, großartig
gaélique	gälisch
la section	Sektion
le Batave	Bataver
masser	massieren
l'argon (m)	Argon
le Roumain	Rumäne
provenir	entspringen, entstehen, herkommen, stammen, abstammen
le phosphore	Phosphor
remonter, raidir	aufziehen, spannen, anspannen, ausspannen, straffen
astronomique	astronomisch
baisser	senken
agrafer	raffen
l'espèce biologique (f)	Spezies
lâcher	auslassen
le premier acompte, le versement initial	Anzahlung, Angeld
le Saint-Pétersbourg	Sankt Petersburg
oblique	schief, schräg, indirekt
campanule en thyrse	Strauß-Glockenblume
le droit	Befugnis, Recht
l'abonnement (m)	Abonnement
le lard	Speck
la Canadienne	Kanadierin
confortable	bequem, gemächlich, wohnlich
la décoration, le décor	Auszeichnung, Dekoration
le charlatan	Quacksalber, Scharlatan
le magnésium	Magnesium
la matière plastique	Kunststoff
la barricade	Barrikade, Verhau
la mission	Mission
l'Afrique du Nord (f)	Nordafrika
fourrer	einsetzen, inserieren; einrücken, stecken; füllen, stopfen; schieben
le choléra	Cholera
indulgent	nachsichtig; glimpflich
orner	aufputzen, schmücken, verzieren
le maçon	Maurer
l'interjection (f)	Empfindungswort, Interjektion
apocryphe	apokryph
le pus	Eiter
apaiser	besänftigen, dämpfen, züchtigen
la cage	Bauer, Käfig
irriter	anreizen, aufhetzen, reizen, aufreizen
la semence	Same; Samen, Sperma
arrogant	arrogant, dünkelhaft, anmaßend, hochnäsig; hochmütig, übermütig; anspruchsvoll
la boule	Kloß, Klumpen
l'objectif (m)	Objektiv
la Transylvanie	Siebenbürgen
greffer	pfropfen
anémone à fleurs de narcisse	Narzissenblütiges Windröschen
la Bolivie	Bolivien
énergique	drastisch, stark wirkend
œillet girofle	Stein-Nelke
sectionner	sezieren, zerlegen, zergliedern
la jambe	Bein; Pfote, Unterschenkel
le crucifix	Kruzifix
améthyste	Amethyst
ensorceler	hexen, Zauberei treiben, zaubern
maintenir	fortfahren, fortführen; aufbewahren, behalten, bergen, erhalten, konservieren; stemmen, unterhalten, unterstützen
Mulhouse	Mülhausen
le pont aérien	Luftbrücke
Malmedy	Malmünd
le chèvrefeuille	Geißblatt, Heckenkirsche
le commandant	Major
roucouler	girren, turteln, gurren
recommandé	eingeschrieben
anémie	Blutarmut, Anämie
inoffensif	gefahrlos, harmlos
s'indigner	aufgebracht sein, entrüstet sein, sich entrüsten
tresser, natter	schlingen, winden, flechten
le bras supérieur	Oberarm
les munitions	Munition
fanatique	fanatisch, leidenschaftlich
la balustrade, la rampe	Balustrade, Geländer, Schranke
la flotte	Flotte
la giboulée	Platzregen; Regenschauer
mirer	übersehen
pénétrer	durchdringen, eindringen
la chaux	Kalk
le néon	Neon
la noisette	Haselnuss
clématite	Waldrebe
le salon de réception	Empfangszimmer
la pesanteur, la gravitation	Schwerkraft, Gravitation
le béton	Beton
Californie, la Californie	Kalifornien
le procès-verbal	Geldstrafe; Protokoll
la carotte	Karotte, Möhre, Mohrrübe
compétent, qualifié	kompetent, zuständig
la couronne	Kranz, Krone
l'ivresse (f)	Betrunkenheit
la sirène	Alarm; Sirene
la cheville	Knöchel
primevère minime	Zwerg-Primel
le Madagascar	Madagaskar
la ciboulette	Schnittlauch
anapeste	Anapäst
analogique	analogisch
l'Apollon (m)	Apollo
la châtaigne	Kastanie
le mercure	Quecksilber
l'espion (m)	Späher, Spion
le tire-bouchon	Korkenzieher
abreuver	bewässern; überschütten
dévorer	aufessen, aufzehren
la Leyde	Leiden
la destinée	Bestimmung; Fügung, Geschick, Los, Schicksal, Verhängnis
vibrer	schwirren, vibrieren
costaricien	costaricanisch
l'aube (f), le point du jour	Tagesanbruch
saxifrage aizoon	Trauben-Steinbrech
courageusement	beherzt
le mont Cervin	Matterhorn
le Limbourg	Limburg
ampli	Verstärker
latin	lateinisch
sérieux	ernst, ernsthaft, gesetzt
la cause	Anlass, Grund, Ursache, Veranlassung
rectangle	rechtwinklig; rechwinklig
la Vénus	Venus
mélinet glabre	Alpen-Wachsblume
le mollet	Wade
les Antilles	Antillen
le Joseph	Josef
la lotte	Quappe
la bruyère	Erika, Heidekraut
arbouse, arbousier	Erdbeerbaum
intransitif	intransitiv
le marin	Seemann; Matrose, Seefahrer
pétrocalle	Pyrenäen-Steinschmückel
anglican	anglikanisch
l'adhésion (f)	Adhäsion
la promenade	Flanierstraße, Korso; Spaziergang; Foyer
amphore	Amphora
la réception	Rezeption; Annahme, Übernahme, Zusage; Empfangszimmer
la perle	Perle
la rosée	Tau
le sillon	Falte, Furche, Runzel
le propédeutique	Propädeutik
le carton	Karton, Pappe
Koweit	Kuwait
le Cubain	Kubaner
le sergent	Wachtmeister, Sergeant
hache (f)	Axt, Beil, Hacke
la confession	Bekenntnis, Beichte, Eingeständnis, Geständnis
fin	fein; geistreich, sinnreich, witzig; spitzfindig, subtil
le phare	Leuchtturm
l'ananas (m)	Ananas
l'Erythrée (f)	Eritrea
batailleur, bagarreur	streitsüchtig, roh; Raufbold
l'algue (f)	Alge
le nymphéa	Seerose
relever, rétablir, reconstituer	wiederherstellen
antisémite	Antisemit
la Berne	Bern
le chacal	Schakal
le gourmet, le gastronome	Gastronom
le psychopathe	Psychopath
la Bretagne	Bretagne, die Bretagne
pencher, s'incliner	hängen, sich bücken
balourd	Flaps
le Malais	Malaye
l'aération (f)	Ventilation
le sperme	Samen, Sperma
le psaume	Psalm
dédier	weihen, widmen, zueignen
rhododendron ferrugineux, rosage ferrugineux	Rostroter Almrausch
archiviste	Archivar
tchadien	tschadisch
dégeler	tauen, auftauen
ânesse	Eselin
